genbank	locusName	geneID
XR_001565152.1	LOC107347767	107347767
XM_015912228.1	LOC107346430	107346430
XM_015918571.1	LOC107352240	107352240
XM_015915290.1	LOC107349184	107349184
XM_015908798.1	LOC107343235	107343235
XM_015900928.1	LOC107335875	107335875
XR_001562291.1	LOC107335028	107335028
XM_015920962.1	LOC107354475	107354475
XM_015911843.1	LOC107346065	107346065
XM_015924740.1	LOC107358112	107358112
XM_015908623.1	LOC107343079	107343079
XM_015909650.1	LOC107344041	107344041
XM_015912392.1	LOC107346585	107346585
XR_001564529.1	LOC107344825	107344825
XM_015900510.1	LOC107335497	107335497
XR_001561718.1	LOC107332238	107332238
XM_015923176.1	LOC107356574	107356574
XM_015902731.1	LOC107337531	107337531
XM_015916682.1	LOC107350455	107350455
XM_015895133.1	LOC107330534	107330534
XM_015901709.1	LOC107336635	107336635
XM_015894762.1	LOC107330113	107330113
XM_015899958.1	LOC107334986	107334986
XR_001562692.1	LOC107336754	107336754
XM_015909313.1	LOC107343729	107343729
XR_001564535.1	LOC107344832	107344832
XM_015912212.1	LOC107346428	107346428
XM_015923247.1	LOC107356638	107356638
XM_015892157.1	LOC107327416	107327416
XM_015919170.1	LOC107352851	107352851
XM_015915801.1	LOC107349625	107349625
XM_015901602.1	LOC107336529	107336529
XR_001565703.1	LOC107349865	107349865
XM_015920631.1	LOC107354192	107354192
XM_015893463.1	LOC107328743	107328743
XM_015924469.1	LOC107357828	107357828
XM_015901702.1	LOC107336631	107336631
XM_015893366.1	LOC107328637	107328637
XR_001565682.1	LOC107349774	107349774
XM_015897409.1	LOC107332671	107332671
XM_015914406.1	LOC107348368	107348368
XM_015895254.1	LOC107330688	107330688
XM_015902393.1	LOC107337270	107337270
XM_015909944.1	LOC107344292	107344292
XR_001564994.1	LOC107347153	107347153
XR_001567648.1	LOC107357670	107357670
XM_015892166.1	LOC107327431	107327431
XM_015909845.1	LOC107344202	107344202
XM_015921730.1	LOC107355199	107355199
XM_015893473.1	LOC107328752	107328752
XM_015903946.1	LOC107338711	107338711
XM_015923052.1	LOC107356437	107356437
XM_015892665.1	LOC107327936	107327936
XM_015908510.1	LOC107342976	107342976
XM_015921484.1	LOC107354981	107354981
XM_015914299.1	LOC107348277	107348277
XM_015897153.1	LOC107332421	107332421
XM_015915002.1	LOC107348913	107348913
XM_015891821.1	LOC107327062	107327062
XM_015903708.1	LOC107338472	107338472
XM_015910233.1	LOC107344561	107344561
XM_015920847.1	LOC107354374	107354374
XR_001565713.1	LOC107349903	107349903
XM_015894773.1	LOC107330126	107330126
XM_015911486.1	LOC107345752	107345752
XM_015898637.1	LOC107333776	107333776
XR_001567826.1	LOC107358362	107358362
XM_015908064.1	LOC107342557	107342557
XR_001562161.1	LOC107334346	107334346
XM_015921434.1	LOC107354934	107354934
XM_015915836.1	LOC107349657	107349657
XM_015922987.1	LOC107356371	107356371
XR_001566589.1	LOC107353412	107353412
XR_001562547.1	LOC107336113	107336113
XM_015897143.1	LOC107332411	107332411
XM_015915038.1	LOC107348946	107348946
XM_015892045.1	LOC107327302	107327302
XM_015911318.1	LOC107345586	107345586
XM_015900538.1	LOC107335516	107335516
XM_015899884.1	LOC107334919	107334919
XM_015912174.1	LOC107346388	107346388
XM_015921953.1	LOC107355366	107355366
XR_001563650.1	LOC107341146	107341146
XM_015909309.1	LOC107343726	107343726
XM_015914285.1	LOC107348268	107348268
XM_015902620.1	LOC107337465	107337465
XR_001567583.1	LOC107357372	107357372
XM_015911434.1	LOC107345707	107345707
XM_015912418.1	LOC107346609	107346609
XM_015896809.1	LOC107332080	107332080
XM_015910223.1	LOC107344548	107344548
XM_015920857.1	LOC107354385	107354385
XM_015908305.1	LOC107342796	107342796
XM_015903996.1	LOC107338764	107338764
XM_015891692.1	LOC107326940	107326940
XM_015896530.1	LOC107331873	107331873
XM_015924663.1	LOC107358035	107358035
XM_015891828.1	LOC107327072	107327072
XR_001567923.1	LOC107358732	107358732
XM_015918298.1	LOC107351995	107351995
XM_015896091.1	LOC107331497	107331497
XM_015900050.1	LOC107335079	107335079
XM_015924594.1	LOC107357955	107357955
XR_001564964.1	LOC107347011	107347011
XM_015918179.1	LOC107351873	107351873
XR_001565312.1	LOC107348378	107348378
XM_015912146.1	LOC107346354	107346354
XM_015891911.1	LOC107327156	107327156
XR_001565411.1	LOC107348742	107348742
XR_001562051.1	LOC107333869	107333869
XM_015911700.1	LOC107345953	107345953
XM_015917606.1	LOC107351316	107351316
XR_001563251.1	LOC107339489	107339489
XM_015892052.1	LOC107327307	107327307
XM_015896815.1	LOC107332085	107332085
XR_001565521.1	LOC107349176	107349176
XM_015921545.1	LOC107355029	107355029
XM_015921446.1	LOC107354951	107354951
XM_015892744.1	LOC107328029	107328029
XR_001561822.1	LOC107332803	107332803
XR_001566790.1	LOC107354181	107354181
XR_001561287.1	LOC107330494	107330494
XM_015892556.1	LOC107327815	107327815
XM_015914910.1	LOC107348836	107348836
XM_015923802.1	LOC107357159	107357159
XM_015899201.1	LOC107334268	107334268
XM_015920544.1	LOC107354119	107354119
XM_015900371.1	LOC107335358	107335358
XM_015924781.1	LOC107358155	107358155
XM_015900171.1	LOC107335182	107335182
XM_015898288.1	LOC107333469	107333469
XM_015903569.1	LOC107338336	107338336
XM_015914310.1	LOC107348280	107348280
XM_015892055.1	LOC107327309	107327309
XM_015902574.1	LOC107337422	107337422
XM_015898333.1	LOC107333508	107333508
XM_015898309.1	LOC107333487	107333487
XM_015910794.1	LOC107345095	107345095
