Source,Transplant,Colony ID,time,carb,protein,lipid,zoox,change_zoox,,Colony ID,time,carb,protein,lipid,zoox,change_zoox
2,2,KK1,3,0.150554263,4.566010808,0.037368292,,NA,,KK1,3,0.150554263,4.566010808,0.037368292,,NA
2,2,KK10,3,0.146910172,3.018709519,0.109647339,463080.7745,463080.7745,,KK10,3,0.146910172,3.018709519,0.109647339,463080.7745,463080.7745
2,2,KK11,3,0.085323693,1.896942679,0.043974835,,-463080.7745,,KK11,3,0.085323693,1.896942679,0.043974835,,-463080.7745
2,2,KK12,3,0.169797745,4.399359442,0.285853185,,NA,,KK12,3,0.169797745,4.399359442,0.285853185,,NA
2,2,KK13,3,0.129117435,3.00720556,0.08674597,,NA,,KK13,3,0.129117435,3.00720556,0.08674597,,NA
2,2,KK14,3,0.11464154,0.919854376,0.046237194,,NA,,KK14,3,0.11464154,0.919854376,0.046237194,,NA
2,2,KK15,3,0.10293323,1.199003032,0.152535101,,NA,,KK15,3,0.10293323,1.199003032,0.152535101,,NA
2,2,KK2,3,0.096267381,4.599013074,0.151263649,551328.2161,551328.2161,,KK2,3,0.096267381,4.599013074,0.151263649,551328.2161,551328.2161
2,2,KK3,3,0.114838392,2.258170961,0.151048473,88747.54546,-462580.6706,,KK3,3,0.114838392,2.258170961,0.151048473,88747.54546,-462580.6706
2,2,KK5,3,0.1359928,2.478501139,0.082763954,,-88747.54546,,KK5,3,0.1359928,2.478501139,0.082763954,,-88747.54546
2,2,KK6,3,0.112238974,2.947901149,0.147334221,445222.9678,445222.9678,,KK6,3,0.112238974,2.947901149,0.147334221,445222.9678,445222.9678
2,2,KK7,3,0.121520625,4.033958977,0.14134813,690344.2689,245121.3011,,KK7,3,0.121520625,4.033958977,0.14134813,690344.2689,245121.3011
2,2,KK8,3,0.107011003,5.566722944,0.136877392,723571.8326,33227.5637,,KK8,3,0.107011003,5.566722944,0.136877392,723571.8326,33227.5637
2,2,KK9,3,0.101263365,7.196470782,0.14719486,,-723571.8326,,KK9,3,0.101263365,7.196470782,0.14719486,,-723571.8326
2,1,KO10,3,0.132662347,2.803548223,0.0337439,243755.8127,243755.8127,,KO10,3,0.132662347,2.803548223,0.0337439,243755.8127,243755.8127
