Species,Source,Transplant,Colony.ID,area_t1,AMR,area_t2,AMR,area_t3,AMR,amr_t1-t2,amr_t2-t3,amr_t1-t3,gain,mortality
Acropora millepora,Hazard Bay,Hazard Bay,OO4,223.57,8.44,254.66,9,222.29,8.41,6.3,-6.57,-0.29,0.086443417,0
Acropora millepora,Hazard Bay,Hazard Bay,OO5,111.44,5.96,105,5.78,99.87,5.64,-3.02,-2.48,-5.34,0.068137297,0
Acropora millepora,Hazard Bay,Hazard Bay,OO6,328.43,10.22,357.49,10.67,212.74,8.23,4.15,-22.86,-19.52,0.061907608,0
Acropora millepora,Hazard Bay,Hazard Bay,OO7,351.71,10.58,315.11,10.02,353.09,10.6,-5.65,5.85,0.2,0.074512564,0
Acropora millepora,Hazard Bay,Hazard Bay,OO8,356.59,10.65,281.17,9.46,,,-12.62,,,,1
Acropora millepora,Hazard Bay,Hazard Bay,OO9,133.16,6.51,143.89,6.77,149.79,6.91,3.8,2.03,6.06,0.059124951,0
Acropora millepora,Hazard Bay,Hazard Bay,OO10,352.24,10.59,352.9,10.6,307.22,9.89,0.09,-6.7,-6.61,0.064028253,0
Acropora millepora,Hazard Bay,Hazard Bay,OO11,183.06,7.63,220.62,8.38,,,8.91,,,,1
Acropora millepora,Hazard Bay,Hazard Bay,OO12,156.97,7.07,151.76,6.95,,,-1.7,,,,1
Acropora millepora,Hazard Bay,Hazard Bay,OO13,265.58,9.19,231.72,8.59,,,-7.06,,,,1
Acropora millepora,Hazard Bay,Hazard Bay,OO14,329.27,10.24,273.69,9.33,237.25,8.69,-9.68,-6.9,-15.12,0.059355009,0
Acropora millepora,Hazard Bay,Hazard Bay,OO15,178.05,7.53,128.36,6.39,122.11,6.23,-17.77,-2.47,-17.18,0.055469954,0
